title,type,date
A Literary Portrait of Richard Avedon Causes Controversy,Books,"Sunday, March 3, 2019"
"Pulled From the Past: Easy, Delicious Recipes for 2018",Food,"Jan. 1, 2018"
A Diary From a Gulag Meets Evil With Lightness,Art & Design,"Jan. 2, 2018"
"California Today: For Sale in Santa Rosa, Fire-Scorched Land",U.S.,"Jan. 3, 2018"
Fashion Institute of Technology’s Library Gets a Makeover,Fashion,"Jan. 3, 2018"
Analyzing the Elements of Art | Five Ways to Think About Space,Lesson Plans,"Jan. 3, 2018"
Notes From the Book Review Archives,Book Review,"Jan. 3, 2018"
"What’s Going On in This Graph? | Jan. 9, 2018",The Learning Network,"Jan. 4, 2018"
Right and Left React to the Clash Between Trump and Bannon,Politics,"Jan. 4, 2018"
10 Shows We’ll Be Talking About in January,Watching,"Jan. 4, 2018"
"An Unconventional History of Texas, From a Writer With the State in His Veins",Book Review,"Jan. 4, 2018"
"Your Week in Culture: Jaamil Olawale Kosoko, the Killers, a ‘Lavender Scare’ Opera",Arts,"Jan. 5, 2018"
"Arthur Mitchell, Ballet’s ‘Grandfather of Diversity’",Dance,"Jan. 5, 2018"
The Systematic Crushing of a #MeToo Pioneer,Opinion,"Jan. 5, 2018"
"Betty Woodman, Who Spun Pottery Into Multimedia Art, Dies at 87",Obituaries,"Jan. 5, 2018"
Soldiers in la Guerra,Opinion,"Jan. 6, 2018"
"What’s on TV Saturday: ‘The Incredible Dr. Pol’ and ‘Everything, Everything’",Television,"Jan. 6, 2018"
Vowel Play,Crosswords & Games,"Jan. 6, 2018"
Hypnotist’s Command,Crosswords & Games,"Jan. 6, 2018"
"The Reflecting Pool Isn’t a Skating Rink, Washington Tells Visitors",U.S.,"Jan. 7, 2018"
"An Unconventional History of Texas, From a Writer With the State in His Veins",Book Review,"Jan. 8, 2018"
"Your Week in Culture: Jaamil Olawale Kosoko, the Killers, a ‘Lavender Scare’ Opera",Arts,"Jan. 5, 2018"
"Arthur Mitchell, Ballet’s ‘Grandfather of Diversity’",Dance,"Jan. 5, 2018"
The Systematic Crushing of a #MeToo Pioneer,Opinion,"Jan. 5, 2018"
"Betty Woodman, Who Spun Pottery Into Multimedia Art, Dies at 87",Obituaries,"Jan. 5, 2018"
Soldiers in la Guerra,Opinion,"Jan. 6, 2018"
"What’s on TV Saturday: ‘The Incredible Dr. Pol’ and ‘Everything, Everything’",Television,"Jan. 6, 2018"
Vowel Play,Crosswords & Games,"Jan. 6, 2018"
